X	Z
0.0	548.60400390625
1.066749661623147	548.6024169921875
2.133499323246294	548.6193237304688
3.2002489848694413	548.205810546875
4.266998646492588	547.2518920898438
5.3337483081157355	546.4308471679688
6.400497969738883	545.7562866210938
7.46724763136203	545.4985961914062
8.533997292985177	545.2177734375
9.600746954608324	544.9845581054688
10.667496616231471	544.7659301757812
11.734246277854618	544.8635864257812
12.800995939477765	545.1646728515625
13.867745601100912	545.7644653320312
14.93449526272406	546.1725463867188
16.001244924347205	546.7687377929688
17.067994585970354	547.2299194335938
18.134744247593503	547.7061767578125
19.201493909216648	548.29248046875
20.268243570839793	548.9200439453125
21.334993232462942	549.546630859375
22.40174289408609	550.3754272460938
23.468492555709236	550.8430786132812
24.53524221733238	550.4244384765625
25.60199187895553	550.3785400390625
26.66874154057868	550.3639526367188
